Id,pred_revenue
0,4110041.3807288064
1,4070272.844682183
2,2797902.537413274
3,2340559.4484639773
4,3758250.616942807
5,3971847.3635925674
6,3961487.4478137153
7,3062472.5697004274
8,4233929.998080618
9,4031837.4067489603
10,4350573.313795095
11,4927277.21127401
12,4553004.666735991
13,5609710.792426131
14,4731899.399124947
15,3550887.006829922
16,5050011.358803807
17,3094502.2333402205
18,4975497.658895707
19,3379391.7466446655
20,2863185.7550649066
21,4333296.244368138
22,5205226.580257688
23,5580661.817705404
24,5229027.351523108
25,4419987.619952761
26,5279875.702194694
27,4957291.618876689
28,3184018.831242683
29,4724255.216513128
30,4511694.739956455
31,2965420.222431047
32,2734279.332566946
33,5974879.664831384
34,2479920.7369661042
35,4937251.809615367
36,5075471.342969926
37,5197565.347488094
38,4391113.514577561
39,3616692.702495909
40,4009776.6561204777
41,4357220.096322907
42,4112330.003625682
43,5321340.781167194
44,4987951.269685099
45,5977759.547537325
46,2692424.811546475
47,2601701.7396737556
48,4930865.375216862
49,4331626.774621184
50,3519859.801260156
51,3074876.829120737
52,4965275.990931415
53,3376780.387456155
54,4071864.2728386475
55,4849523.39655966
56,6634681.7834987445
57,3347251.640362631
58,3410618.4687244063
59,6191039.965366083
60,4438853.504084766
61,4876161.631350124
62,3974987.6977625345
63,4648842.1322284695
64,4657238.608918127
65,6018280.919025304
66,6503980.974780971
67,5500516.071681404
68,4786546.790032595
69,4743790.86975586
70,4541384.8272823505
71,2961612.7952162945
72,3904312.2421467933
73,4735337.694211232
74,5162320.660170037
75,4572903.0723017175
76,4936712.574149424
77,5801475.960418799
78,4388245.568211801
79,4552587.931268693
80,4197105.384790843
81,4081165.344473519
82,3694034.8177233697
83,4916363.263146052
84,5695408.023045509
85,2938320.5490943994
86,5458184.778111167
87,5895123.788707308
88,4827906.301181012
89,2740171.661521282
90,6127112.76638854
91,4515382.214272385
92,3886201.3975586067
93,3570640.4922811706
94,4272833.980736345
95,2953754.7900268496
96,4587279.811002317
97,5018392.987726923
98,3072080.4102811804
99,5124085.454356913
100,4639165.010123035
101,3835073.3967594225
102,5817693.820810055
103,4357976.554877746
104,4688493.8535108585
105,2854043.626415647
106,4974504.72073431
107,5986108.155078602
108,4958844.470346622
109,6126931.4838425135
110,5521030.321151107
111,2772704.9355942314
112,4674024.670485148
113,4401504.260692798
114,4404474.910003442
115,4384719.554345394
116,2883963.7695659082
117,4609065.802707773
118,4071975.236990995
119,4104520.2027897765
120,4830588.574859317
121,5193348.416264018
122,3865934.9890656914
123,5983391.15986015
124,2722394.793926452
125,3794974.229272449
126,5533088.613153573
127,3875678.1203706884
128,4849640.685882234
129,3298577.3245492517
130,3406131.7022465523
131,3776990.492868452
132,5065102.8481640965
133,2725954.6773820682
134,4206305.882530219
135,3996436.4732612115
136,4427878.718670834
137,3467071.2396795484
138,2801051.573774403
139,5156954.134132215
140,5374290.542386064
141,2399108.6367432796
142,4463100.7752865795
143,4351297.796488252
144,4167986.9805131005
145,3177465.600489521
146,3801317.242499245
147,2999351.195107299
148,3877648.0869108085
149,4596552.517047006
150,3669868.519859531
151,5220550.857699024
152,4957856.504887697
153,5775049.232963866
154,3993776.116608996
155,6792818.867902856
156,4097537.7611614345
157,4503182.058965139
158,3247400.8723920034
159,5841568.2499170955
160,3418702.481242344
161,3808676.2254241295
162,4027155.132413265
163,5668896.91725357
164,5068781.920756715
165,4871631.965741992
166,3574506.666615945
167,2815239.3162781037
168,3765611.679873119
169,5321188.080734879
170,4206437.067347213
171,2657548.0044478397
172,2305836.426737776
173,4824936.477135531
174,4515032.588932012
175,3258661.7378698452
176,6456627.327034677
177,4534735.829894707
178,4182199.33403691
179,3927496.594135839
180,4531945.925737941
181,4921023.508635695
182,4495377.771748658
183,3988664.5595366973
184,3962825.486082747
185,5580393.936755002
186,4492216.6191869285
187,4565806.564290469
188,5689564.633385841
189,4043672.6060924907
190,4740576.72263327
191,5338718.200749491
192,6085291.186277159
193,3022929.623339036
194,4532951.9421603475
195,4388896.236171112
196,4418682.923497638
197,2936604.46614536
198,3385728.9332709746
199,4382465.759344732
200,3392592.4685728764
201,3466314.0258128247
202,4413719.789489036
203,3902565.042115131
204,5084407.601180197
205,5590618.341307786
206,4571423.156422215
207,4685125.846571348
208,4139904.7228832785
209,3983837.207965292
210,4387074.771074127
211,5217487.45046005
212,3537508.434931844
213,2745783.512370264
214,3573111.3288807
215,2200862.069247063
216,4718703.341240337
217,5147921.139324504
218,4256630.421268018
219,2921880.5670522572
220,5466366.770591651
221,4346467.002151493
222,4919757.414788783
223,4603854.374613107
224,5305031.596530306
225,4087903.82829904
226,2945989.359270298
227,6471682.233268438
228,4528841.994337312
229,4836267.079918249
230,5913964.64541293
231,4701326.390808636
232,4614209.144451815
233,4374638.262343627
234,5811214.196931016
235,4563272.6784755085
236,4080829.4469476617
237,5064167.658757916
238,4637511.5381003395
239,4602330.90093953
240,4002805.323256574
241,6172091.376091253
242,3599720.737428623
243,4084925.082236348
244,4078010.741078974
245,6160457.64081155
246,3939308.360284206
247,4287396.5346154515
248,4774544.680054066
249,5804975.071274071
250,3396217.597385588
251,5272554.180267183
252,3641274.477850981
253,4555405.508051134
254,3882235.071135545
255,3933036.193319503
256,5267217.120539551
257,6298527.6945572365
258,3344179.6203623535
259,3509575.9441630957
260,5267902.063490043
261,3360160.4234421803
262,5609876.210990455
263,4972584.0177323995
264,2893474.0927440887
265,5750049.494538046
266,4963790.440035677
267,5994642.064530292
268,4391429.407234716
269,4147364.71878233
270,4205677.126178187
271,2896550.084108791
272,4399551.505741278
273,4242327.237437862
274,4105379.3277673237
275,6032121.745327421
276,6996933.288393362
277,5428798.50864272
278,4291341.065787566
279,3204978.8946128893
280,4273629.126736656
281,6429790.358836727
282,3443210.490223012
283,4013612.761423034
284,4226713.544217595
285,3725157.3240049924
286,3844928.4266634337
287,3800449.175917051
288,6005452.253954108
289,2990334.4382891906
290,4589680.847268309
291,4737732.642070969
292,3094178.6665591076
293,5254912.528108438
294,4686861.13401565
295,5102772.174382194
296,6126858.4339837935
297,5360156.278066852
298,3577592.996291341
299,3745256.547191028
300,3435513.445670413
301,5629273.688710994
302,5971578.222780306
303,5635213.727299397
304,4061054.545096294
305,4705446.33220553
306,3966600.4463330926
307,6339483.236314115
308,2506307.507789513
309,5429021.697667865
310,4617644.333935243
311,3952970.4721092572
312,3692926.7405501
313,3524849.731235419
314,2883791.6703109164
315,3267394.0222585327
316,2349418.0633019046
317,3735530.194956586
318,5939455.87423129
319,3539424.067258305
320,2964792.848910748
321,3403132.8832810125
322,4263979.765971352
323,4107837.2364211446
324,4233193.35068538
325,2845626.3444469986
326,5303085.748309091
327,3695071.4231538065
328,4785738.129834456
329,6097085.648646085
330,3133255.4376665247
331,4734926.401533909
332,5083819.567164603
333,6172339.384472096
334,5702846.86435321
335,4769970.575912034
336,3949343.7141177934
337,6844896.8095791815
338,5923860.814096347
339,3051306.2408339153
340,5185718.087618076
341,5549722.213763825
342,5281013.533483298
343,5623961.490020697
344,5951133.566222056
345,4213876.633148643
346,3873450.1128833154
347,6481102.935661249
348,3034437.9278564057
349,3987065.378273793
350,4243324.816719725
351,5555625.172334243
352,4925421.994133682
353,3410249.720636186
354,2784026.923564908
355,3593495.542301148
356,4062405.555570824
357,4877354.013605639
358,4703758.557502992
359,4820115.665368295
360,3298577.3245492517
361,4698952.359201209
362,5957107.9784866385
363,5619169.290743028
364,5359749.551048246
365,3565994.6806346956
366,4446348.349222683
367,3958138.1055000713
368,3944967.51475039
369,5553938.562246018
370,4739970.537349101
371,4040609.832977049
372,5244919.994639888
373,5986621.16878131
374,4523645.27786619
375,4705187.272554204
376,3864702.072944661
377,4033158.2599677755
378,4797962.565639659
379,4592287.795544539
380,4750845.112630724
381,4132413.796670247
382,3422666.629117692
383,4800645.7809323175
384,3136231.544675193
385,5692174.118424967
386,3708054.384612099
387,5136674.279888722
388,5644645.5008794265
389,3343945.984611124
390,4723642.6934451265
391,3379194.7922905227
392,2938587.3921166984
393,4498075.825124204
394,5802479.427816015
395,2511958.430494101
396,5638254.875531301
397,4646479.698433764
398,5548608.317179609
399,5036550.0444692215
400,5310413.062846334
401,3198817.174909842
402,2570407.018403503
403,3562989.0001814743
404,4832508.3822942935
405,3462138.2183199823
406,4580851.28327745
407,4030362.5158232925
408,4319740.688876521
409,4327843.2784342
410,3627547.095838974
411,2840673.543793789
412,4977152.008339899
413,4595383.892850705
414,5263335.459063006
415,3979934.611530459
416,5075222.857417405
417,2720024.507064238
418,5599137.637002808
419,3266058.075400154
420,4182824.957511654
421,5273159.685478039
422,5534051.601540449
423,3351712.745574749
424,4665123.165438078
425,4895168.163380905
426,4723631.1230977075
427,4266340.695245234
428,4355226.9432833
