Id,pred_revenue
0,4019835.624703638
1,3589857.7515636617
2,4205748.930982677
3,3457566.475700365
4,3984593.5810097284
5,3477498.2741334653
6,3764155.9566901294
7,3917116.900375732
8,4084437.453680967
9,2969575.186620846
10,3945833.6122620865
11,4704290.344380062
12,4420921.551374293
13,4317991.062127368
14,4305434.475934787
15,4782259.869105393
16,6294327.857078722
17,3102007.381990424
18,5963405.337788704
19,3457463.1312867696
20,4127195.602724526
21,4630814.536155379
22,3757135.600679886
23,4667129.796478874
24,4316613.628773572
25,4029801.2073578457
26,3568499.890820922
27,4024986.377544776
28,3822756.6735965577
29,3694644.591506238
30,4565722.288186053
31,3183727.8173967027
32,3881525.8917205962
33,5171113.367029199
34,3439408.0829274133
35,4517221.739459928
36,3871911.4046987253
37,4487821.794335276
38,3862387.1230354444
39,3322143.802137852
40,3760241.9797665207
41,3955603.165893844
42,4458367.965870576
43,4842294.504208159
44,4708814.367348873
45,4056600.536041679
46,3697652.6437638034
47,3021673.305547127
48,3770959.471667374
49,3875472.2161513157
50,3991850.156023319
51,4187222.1407545535
52,4416642.226203556
53,3535226.560420729
54,3607769.369943405
55,3821839.8020258863
56,4325201.258207214
57,3905815.635845326
58,3646976.246806816
59,4480887.732964394
60,3685278.543042863
61,3515304.0800405117
62,3488960.2948596673
63,4139728.004106642
64,4264780.602029974
65,4983576.964350905
66,3857915.692838178
67,4985593.726275128
68,5541777.24140524
69,3861545.4999732333
70,4314023.128437244
71,3682571.7692207526
72,3510406.24718633
73,3669211.7068455624
74,4754461.951243456
75,3848198.9116341923
76,4527030.7753831465
77,3529408.8855453837
78,4010231.3123087618
79,3413346.2469474343
80,4487662.93600966
81,4064689.936329736
82,3987546.9091506815
83,4072218.038786022
84,5379421.049657547
85,3878198.9242688287
86,3947279.543598128
87,4434037.265789772
88,4200697.94549461
89,4858411.267006137
90,4812977.538608776
91,4265926.084593606
92,3846550.8769422756
93,4458717.338608605
94,4455080.099709977
95,3429226.1137174647
96,3528902.985930023
97,4287402.181618172
98,3561017.182376444
99,4329590.480060872
100,4931641.526350735
101,3567359.820053529
102,3654014.9328798717
103,3710978.2805994228
104,4333646.793556467
105,3052899.49274869
106,4239276.3770424975
107,4755304.665581327
108,4455041.404652655
109,4351782.529151602
110,5160397.962451629
111,4678613.106969805
112,4603809.112257131
113,4391598.372438009
114,3587627.2288555126
115,3957995.0096814646
116,3404940.523319416
117,4032545.571934683
118,3517690.9628667803
119,3835731.918642476
120,4382732.028713791
121,3880550.6154361335
122,4106426.7341395356
123,4580024.193005284
124,3910621.6911585545
125,3762019.137537786
126,4040088.3518461613
127,3905470.1569111324
128,5235178.475384656
129,3683807.2298052036
130,3553862.7442663657
131,4468777.021354606
132,4184651.375895522
133,2880151.434697676
134,3330408.3325694525
135,3882025.4567480986
136,3585224.67241335
137,3201522.1544635156
138,4201284.218586664
139,3654005.0801188787
140,5813373.909807018
141,3426013.041456857
142,4421555.506159759
143,3709115.51643919
144,4176882.938222044
145,3492958.2478907444
146,3490535.2340503093
147,3477217.7108437307
148,4028145.530456025
149,4116444.887979282
150,3556037.4377186606
151,3994644.1426200597
152,4639672.927407103
153,5464172.041987555
154,4191806.056246038
155,4429146.145098107
156,4353519.81296673
157,4818279.858487513
158,3406783.6212744443
159,3907911.6399919693
160,3415128.31861364
161,4408516.959274765
162,4146557.7782509257
163,4712928.5516048875
164,4434993.385789721
165,3948643.5755229914
166,3889649.8082437124
167,3996292.067474532
168,4389706.410861825
169,4334095.341580396
170,3873566.6688722195
171,3598012.3776507024
172,3396351.644152475
173,4369802.488723275
174,4628176.11672066
175,3975321.694154911
176,5674176.511386876
177,3698482.398135
178,3821335.3118259995
179,3777686.5922759925
180,3890949.845491868
181,4468436.215922117
182,4190726.8407957153
183,3744498.251915642
184,3760413.833406608
185,3657276.578584718
186,3768519.769488707
187,3847191.9277529013
188,4539558.600159582
189,4219047.621438776
190,4254544.475957207
191,4111599.7411444103
192,4606643.14481662
193,3904348.2284784676
194,4159696.3552289796
195,3828401.630844952
196,4188498.141139268
197,3940899.065091599
198,3980232.8530115043
199,4382198.957136285
200,3983440.0938579612
201,3237703.9564089896
202,4378669.663483337
203,4413176.380803236
204,4883659.608000033
205,4899028.50412186
206,4760767.672848513
207,3237841.848920697
208,4420334.914054677
209,4067895.539625312
210,4324673.5718046855
211,4083907.128346696
212,4125399.067588205
213,3873812.3208623584
214,4680423.900306339
215,3447172.550761899
216,3353995.8937669857
217,4345413.25379077
218,4197544.735125055
219,4025206.0101099587
220,4863287.600006356
221,3506754.770313964
222,4782597.919642388
223,3964198.7001805487
224,4336203.045407755
225,3987464.8506024824
226,4376831.4716779385
227,5355930.557609326
228,3921887.3763215584
229,5658464.906866918
230,4324043.805861452
231,5519613.185287831
232,4434444.883834678
233,4103632.8749924875
234,4225091.316612541
235,3752177.278572262
236,4038589.9332654374
237,4256268.6547199655
238,4408015.3223874215
239,5132097.802723051
240,3834066.2663117363
241,4226505.800918993
242,3543623.0967861405
243,3527362.212861248
244,5240568.820533547
245,5277995.266454304
246,3500110.8183346363
247,3737662.141873233
248,3459341.766968614
249,4008875.506060467
250,3778881.683358106
251,4201047.886913967
252,4168090.583379155
253,4020772.9242475666
254,4620865.5437550945
255,4033174.7746378765
256,4453592.494771092
257,4367040.071858799
258,2852120.819626217
259,4241622.182787577
260,3896876.577210446
261,4037813.1440182514
262,4620043.481601938
263,3883100.6951097557
264,3341527.4492996302
265,4811180.136850246
266,3879064.368718354
267,5343177.890247029
268,4118674.3243284477
269,4013730.5996766784
270,3175301.6543032443
271,4101256.4228631593
272,4073689.517825272
273,3874717.9646190456
274,3806137.1113097193
275,4790753.898955478
276,5277143.955318386
277,4481524.565795488
278,3984128.2348062503
279,4131707.4937246325
280,4287529.910693254
281,4198340.811004634
282,3501441.7054362586
283,4019343.887434411
284,4060368.3882887526
285,3336633.6806236575
286,3699930.5582461855
287,3032377.4406245137
288,4542584.110399273
289,3451039.080823238
290,3922240.02400532
291,3697657.469578321
292,3546815.1838107314
293,4127229.9663165403
294,4585484.264821949
295,4604101.575898144
296,4540884.866624557
297,4501829.598715249
298,4603346.796258242
299,4576979.568958483
300,3255616.8278491097
301,3738032.855236182
302,4504802.280658087
303,4886658.836637272
304,4005541.160876347
305,5279237.282535639
306,3277726.527477643
307,4322126.447021928
308,3389643.0759115107
309,4083856.7521828203
310,3994901.5739694643
311,3937319.267955718
312,4294300.710452893
313,4228589.694739869
314,3658626.7167286477
315,3831416.848991187
316,3237205.825049002
317,3593089.656301926
318,5044624.584218683
319,4793869.703863361
320,4304929.811295557
321,3915682.532176
322,3768536.895869792
323,4564410.329157814
324,4003297.716823947
325,4144034.182143932
326,4251525.675807452
327,3968927.455788808
328,4239984.782599835
329,4684304.167828848
330,4188782.7566007264
331,4988740.456816142
332,4104184.727879105
333,4708595.1449324675
334,5395384.303671485
335,3826772.231457957
336,3484257.833501824
337,4416503.914557113
338,4224637.433896227
339,3734088.8751969025
340,3961180.1953956867
341,4031977.1124306032
342,4083552.960109212
343,4146649.8901353865
344,4925760.055863167
345,4127385.2826520586
346,3795947.3280563266
347,4808200.313998698
348,4003708.322419446
349,4336758.803608222
350,3908439.9216819573
351,4306128.049035419
352,4723667.561996958
353,4393211.875390827
354,3968813.1333390153
355,3866064.239837494
356,4284057.823250161
357,4237437.938152242
358,5074297.769555204
359,4585187.3130831495
360,3683807.2298052036
361,4379672.059063128
362,3854762.7733032578
363,3793024.731772441
364,4899569.333174824
365,3889032.1058344217
366,4040308.271816252
367,3351545.847724437
368,3536921.6418748996
369,4158558.442671337
370,3522055.8451442653
371,3930222.8716519545
372,4928514.993984793
373,4679781.968241589
374,4067946.483404635
375,3806938.7975304876
376,4083852.5829795855
377,4091665.932423291
378,4507202.473460107
379,4047346.2733682636
380,3616678.165818392
381,3844722.9071498117
382,3969406.5248563234
383,4548942.291779602
384,3496109.971716088
385,4867986.430491711
386,3821808.926036655
387,4458733.997028054
388,4345705.7777392445
389,5063009.293545555
390,4539042.781341543
391,3868654.292975285
392,3468273.043508899
393,4322183.28282954
394,4454795.728823341
395,3641783.2477876022
396,4668418.69797884
397,4328961.5427591605
398,4806613.406272672
399,4467526.140442548
400,4030411.323358365
401,4420673.881991885
402,3494032.878452894
403,4587063.0306594875
404,3705892.7557961
405,4211545.566402959
406,3974402.300986626
407,3704392.3565551005
408,3533029.1536704376
409,3841615.432818725
410,3277453.9142358303
411,3976124.309387836
412,3871761.164278717
413,4847720.243300941
414,5192578.598046977
415,3961184.9986588913
416,4110754.717448041
417,3217724.450904052
418,4315754.658310271
419,4036791.3747255458
420,3989418.4359800285
421,3875951.588696068
422,4184229.7207956165
423,3943578.954892256
424,3854439.023728553
425,4929433.814227561
426,3720838.9694618243
427,3860720.5957290516
428,4257473.404405746
429,3333825.65842687
430,4083016.622703212
431,4297310.720282187
432,3818096.0532570654
433,4632146.519765433
434,4033841.038430979
435,3657002.6809948306
436,3641699.88547687
437,3610302.4215163128
438,4013792.975870994
439,4288557.54576857
440,3567723.9148083497
441,4072860.000612758
442,4802471.124902284
443,5414249.146867049
444,4339046.522309925
445,3816935.328650829
446,4818998.009625359
447,3528801.1898476225
448,3619040.2669156063
449,4503687.91222985
450,4415888.72432306
451,4256650.2764609745
452,3489474.763669194
453,3507693.364404885
454,4025368.8977948786
455,3985047.3148374264
456,3758036.893829357
457,3874323.593359387
458,3231908.4665547763
459,3820340.715989329
460,4767723.670343955
461,4568758.899910996
462,5081983.142410473
463,3382223.284816504
464,4051272.7272220887
465,3552456.3202246614
466,3896444.94105308
467,3147532.5046955883
468,4062237.7844798984
469,4293604.413665964
470,4403418.20166026
471,3305709.1937905164
472,4296995.070131024
473,4144786.081395527
474,4870602.805811026
475,3855255.446237777
476,3702923.7744454043
477,3666587.2294158386
478,4043032.481126919
479,4185053.3620753246
480,4973536.00043532
481,4317948.024020405
482,3273718.850109656
483,4163667.6833395287
484,4737803.720573398
485,3896837.7274658782
486,3853018.0419817483
487,4084298.7839114624
488,4089456.5967377624
489,3676059.05975865
490,3884377.844197272
491,3723169.5205202904
492,3619748.5493459273
493,5373181.036541213
494,4291087.812525365
495,4044311.211144151
496,4036985.405791338
497,3937516.1851836313
498,3819990.491333807
499,3655994.8566472116
500,3609240.662950419
501,3556942.542673433
502,3972664.359614075
503,4319884.033314492
504,3941783.086490707
505,3381677.506677386
506,3952275.567620784
507,3527802.0202869163
508,3393018.9774818355
509,4017954.7859091973
510,4896018.949241565
511,4892594.118138839
512,3644661.475577295
513,4964545.026189633
514,4058790.482246596
515,3364463.9519628556
516,3721613.6730279233
